target_xpath,condition_value,replacement_value
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283061,https://digicoll.lib.berkeley.edu/record/91902
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283062,https://digicoll.lib.berkeley.edu/record/91903
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283063,https://digicoll.lib.berkeley.edu/record/91904
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283064,https://digicoll.lib.berkeley.edu/record/91905
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283065,https://digicoll.lib.berkeley.edu/record/91906
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283066,https://digicoll.lib.berkeley.edu/record/91907
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283067,https://digicoll.lib.berkeley.edu/record/91908
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283068,https://digicoll.lib.berkeley.edu/record/91909
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283073,https://digicoll.lib.berkeley.edu/record/91914
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283074,https://digicoll.lib.berkeley.edu/record/91915
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283075,https://digicoll.lib.berkeley.edu/record/91916
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283076,https://digicoll.lib.berkeley.edu/record/91917
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283077,https://digicoll.lib.berkeley.edu/record/91918
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283078,https://digicoll.lib.berkeley.edu/record/91919
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283079,https://digicoll.lib.berkeley.edu/record/91920
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283080,https://digicoll.lib.berkeley.edu/record/91921
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283081,https://digicoll.lib.berkeley.edu/record/91922
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283085,https://digicoll.lib.berkeley.edu/record/91926
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283086,https://digicoll.lib.berkeley.edu/record/91927
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283087,https://digicoll.lib.berkeley.edu/record/91928
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283088,https://digicoll.lib.berkeley.edu/record/91929
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283089,https://digicoll.lib.berkeley.edu/record/91930
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283090,https://digicoll.lib.berkeley.edu/record/91931
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283091,https://digicoll.lib.berkeley.edu/record/91932
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283092,https://digicoll.lib.berkeley.edu/record/91933
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283093,https://digicoll.lib.berkeley.edu/record/91934
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283094,https://digicoll.lib.berkeley.edu/record/91935
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283095,https://digicoll.lib.berkeley.edu/record/91936
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283096,https://digicoll.lib.berkeley.edu/record/91937
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283097,https://digicoll.lib.berkeley.edu/record/91938
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283098,https://digicoll.lib.berkeley.edu/record/91939
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283099,https://digicoll.lib.berkeley.edu/record/91940
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283100,https://digicoll.lib.berkeley.edu/record/91941
